Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,AAMAX – AI-Powered Web Development & Digital Marketing Services,https://aamax.co,info@aamax.co,,unverified,,,new
2026-08-13,Find the Right Service Providers for Your Projects,https://feedbax.ai,"info@feedbax.de, info@andersenlab.de, info@feedbax.ai, kontakt@feedbax.de",info@andersenlab.de,valid,,,emailed
2026-08-15,Vind de juiste dienstverleners voor uw projecten,https://feedbax.nl,"info@andersenlab.de, info@feedbax.de, info@feedbax.nl, kontakt@feedbax.de","info@andersenlab.de, info@feedbax.de, kontakt@feedbax.de, info@feedbax.nl",valid,,,emailed
2026-08-13,ITProfiles,https://itprofiles.com,support@itprofiles.com,,unverified,,,new
2026-08-19,JKC Media B.V.,https://jkc.media,"justin@jkc.media, info@jkc.media, %20justin@jkc.media, service@jkc.media","justin@jkc.media, info@jkc.media, %20justin@jkc.media, service@jkc.media",catch_all,369 0296,,emailed
2026-08-15,Localist,https://localist.konigle.com,ai@konigle.com,ai@konigle.com,catch_all,,,emailed
2026-08-15,Score Agency,https://scoreagency.nl,"info@scoreagency.nl, naam@bedrijf.nl",info@scoreagency.nl,valid,870 0020,,emailed
2026-09-08,Tech and Talent Solutions - Sunbytes,https://sunbytes.io,info@sunbytes.io,info@sunbytes.io,catch_all,,,new
2026-08-13,Webflow: The agentic web platform for modern businesses,https://webflow.com,"example@yourdomain.com, exemple@votredomaine.com",,unverified,,,new
2026-08-14,AAM Consultants - Digital Marketing & Web Development Agency,https://www.aamconsultants.org,info@aamconsultants.org,,invalid,334-9955239,,new
2026-08-14,Website Designing Company in India | Best Web Design Services in USA & Dubai,https://www.cssfounder.com,"sales@cssfounder.com, info@promotedial.com, hr@cssfounder.com, prabhat@cssfounder.com, info@cssfounder.com, it@cssfounder.com","sales@cssfounder.com, hr@cssfounder.com, prabhat@cssfounder.com, info@cssfounder.com, it@cssfounder.com",catch_all,971 5291890,,emailed
2026-08-29,Groove Digital | AI-Native Agency for SMEs & Scale-ups,https://www.groovedigital.agency,"your@company-email.com, hello@groovedigital.agency",hello@groovedigital.agency,valid,,,new
2026-09-01,"#1 Website Development — Get More Customers, Rank Top on Google",https://www.jan-seva.site,arpitcsc1707@gmail.com,arpitcsc1707@gmail.com,valid,9193898182,,new
2026-08-14,Full-Service Digital Agency & Development Company | Nishkama TechX,https://www.nishkamatechx.com,"dhruvil.gandhi@nishkamatechx.com, you@company.com, divyanshu@nishkamatechx.com",,unverified,838 7110,,new
2026-09-08,NŌRM | Creative Design Agency,https://www.normcreative.com,hey@normcreative.com,,invalid,,,new
2026-08-15,Sortlist,https://www.sortlist.nl,"isabelle@luna.be, u003einfo@keyagency.nl, u003eadvertise@influasia.com, janedoe@acme.com, hi@ruelle.studio, info@intouchmena.com, jane.doe@acme.com","u003eadvertise@influasia.com, hi@ruelle.studio, info@intouchmena.com",catch_all,,,emailed
2026-08-15,Web Design Awards,https://www.webdesignawards.io,"you@studio.com, nominations@webdesignawards.io, partnerships@webdesignawards.io, support@webdesignawards.io","you@studio.com, nominations@webdesignawards.io, partnerships@webdesignawards.io, support@webdesignawards.io",catch_all,,,emailed
