Date,Business Name,Website,Emails,Verified Emails,Verification Status,Phone,Country,Status
2026-08-13,Semrush Agency Partners,https://agencies.semrush.com,"agencies@semrush.com, mail@semrush.com",,invalid,,,new
2026-08-14,Ankit Designs,https://ankitdesigns.com,hello@ankitdesigns.com,hello@ankitdesigns.com,valid,,,new
2026-08-15,Bernum,https://blog.bernum.ca,info@bernum.ca,info@bernum.ca,catch_all,+1 519-804-6156,,new
2026-08-15,Canada Software Company,https://canadasoftwarecompany.ca,info@theitcart.ca,info@theitcart.ca,valid,(437) 440 0555,,new
2026-08-15,Digital Marketing Company | Advertising Agency Canada | Conqueri Digital,https://conqueri.ca,"info@conqueri.ca, sales@conqueri.ca, paul@conqueri.ca",,invalid,(855) 851-9774,,new
2026-08-14,digitalmarketing401.ca,https://digitalmarketing401.ca,"info@theitcart.ca, info@digitalmarketing401.ca",info@theitcart.ca,valid,"1 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 (647) 333 9065",,new
2026-08-14,elevado IQ,https://elevadoiq.com,info@elevadoiq.com,,invalid,+1 647 897 9000,,new
2026-08-14,EN3 Solutions | Best Digital Marketing Agency in Mississauga |,https://en3.ca,info@en3.ca,,invalid,(647) 948-9862,,new
2026-08-14,Enter Productions,https://enterproductions.ca,info@enterproductions.ca,info@enterproductions.ca,catch_all,+1 647-571-6240,,new
2026-08-13,helloDarwin,https://hellodarwin.com,"clients@hellodarwin.com, info@hellodarwin.com","clients@hellodarwin.com, info@hellodarwin.com",catch_all,,,emailed
2026-08-13,ICS Creative Agency,https://icscreativeagency.com,info@icscreativeagency.com,info@icscreativeagency.com,catch_all,,,new
2026-08-13,Best Digital Marketing Agency in Canada - Infinity Digital,https://infinitydigital.ca,info@infinitydigital.ca,info@infinitydigital.ca,catch_all,+1 647.784.2813,,emailed
2026-08-13,Locomotive,https://locomotive.ca,"info@locomotive.ca, name@email.com",info@locomotive.ca,catch_all,+1 514 524 5678,,emailed
2026-08-14,Magenta Design,https://magentadesign.ca,hello@magentadesign.ca,,invalid,905-882-3145,,new
2026-08-14,Digital Marketing Canada | CALL US (905) 216-7571,https://marketingblitz.ca,"info@marketingblitz.ca, %20info@marketingblitz.ca",info@marketingblitz.ca,valid,(905) 216-7571,,new
2026-08-14,MJSoft,https://mjsoft.ca,info@mjsoft.ca,info@mjsoft.ca,catch_all,(647) 482-7638,,new
2026-08-13,Momentum360 Digital Marketing,https://momentum360.ca,info@momentum360.ca,info@momentum360.ca,catch_all,519-900-2717,,emailed
2026-08-13,Parachute Design Group,https://parachutedesign.ca,hello@parachutedesign.ca,hello@parachutedesign.ca,valid,416-901-8633,,emailed
2026-08-14,piximpress.ca,https://piximpress.ca,"u00a0info@piximpress.ca, info@piximpress.ca",,unverified,(613) 415-6514,,new
2026-08-14,Saftal Design,https://saftaldesign.com,"your@email.com, contact@saftaldesign.com",,unverified,,,new
2026-08-13,"Finding the best business, It's that easy - ThreeBestRated.ca",https://threebestrated.ca,"support@threebestrated.ca, press@threebestrated.com, reviews@threebestrated.ca","support@threebestrated.ca, reviews@threebestrated.ca, press@threebestrated.com",valid,,,emailed
2026-08-14,ThrillX | UX/UI Design Agency | World Class Digital Products,https://thrillxdesign.com,"john@gmail.com, info@thrillxdesign.com, john@microsoft.com",info@thrillxdesign.com,catch_all,,,new
2026-08-14,Palmer Marketing,https://trypm.com,"careers@trypm.com, info@trypm.com, chris@trypm.com, tom@trypm.com, webmasters@trypm.com, jerry@trypm.com, kate@trypm.com, michelle@trypm.com, sales@trypm.com",,invalid,905.672.6282,,new
2026-08-14,Web Design Mississauga | Web Design Mate Inc. |,https://webdesignmate.ca,"saqib@webdesignmate.ca, info@webdesignmate.ca, user@website.com",,unverified,+1 (437) 227-3938,,new
2026-08-14,WEBSITETOON | Richmond Hill Digital Marketing Agency,https://websitetoon.com,"info@websitetoon.com, info@www.websitetoon.com","info@websitetoon.com, info@www.websitetoon.com",catch_all,647-987-8780,,new
2026-08-15,Web Design Company Mississauga | WPGSOLUTION,https://wpgsolution.ca,info@wpgsolution.ca,,unverified,647-745-4587,,new
2026-08-13,ApparelnBags.com,https://www.apparelnbags.com,sales@apparelnbags.com,,unverified,8133441336,,new
2026-08-13,Bernum,https://www.bernum.ca,"you@company.com, info@bernum.ca",info@bernum.ca,catch_all,+1 519-804-6156,,emailed
2026-08-14,CS Web Solutions,https://www.cswebsolutions.ca,info@cswebsolutions.ca,,invalid,905-890-2222,,new
2026-08-14,Kinex Media Inc.,https://www.kinexmedia.com,info@kinexmedia.com,info@kinexmedia.com,catch_all,1-888-679-7773,,new
2026-08-14,Shopify,https://www.shopify.com,monique@email.com,,unverified,,,new
2026-08-14,Web Designing And Development -,https://www.thirdeyedesigners.com,info@thirdeyedesigners.com,info@thirdeyedesigners.com,catch_all,647-799-3050,,new
2026-08-14,Zand Marketing,https://zandmarketing.ca,info@zandmarketing.ca,,invalid,1-866-794-8915,,new
